******************************************************************
records on FG_NET dataset under leave one person out protocol

******************************************************************


******************************************************************
train and test on ID: 1
******************************************************************
epoch, train_total_loss, train_cross_entropy_loss, train_kl_loss, train_argmax_MAE, train_accuracy
013, 7.0616, 31.5007, 7.0616, 3.6434, 95.7372
014, 6.2225, 30.4565, 6.2225, 3.2384, 96.1830
015, 6.0442, 30.1854, 6.0442, 3.1000, 96.2953
016, 5.8275, 29.9716, 5.8275, 3.0071, 96.4116
017, 5.9208, 30.0248, 5.9208, 2.9646, 96.4514
018, 5.9620, 30.0800, 5.9620, 3.1242, 96.2810
019, 5.3247, 29.2951, 5.3247, 2.5960, 96.8156
020, 5.2168, 29.1653, 5.2168, 2.7020, 96.7279
021, 5.3859, 29.4047, 5.3859, 2.7596, 96.6493
022, 5.4848, 29.5220, 5.4848, 2.7384, 96.6565
023, 5.0946, 29.0280, 5.0946, 2.5838, 96.8401
024, 4.9361, 28.7250, 4.9361, 2.5899, 96.8422
025, 5.0498, 28.9467, 5.0498, 2.5717, 96.8330
026, 5.0684, 28.8581, 5.0684, 2.5505, 96.7850
027, 4.5780, 28.3269, 4.5780, 2.3808, 97.0289
028, 4.5918, 28.3751, 4.5918, 2.3081, 97.0911
029, 4.6089, 28.3340, 4.6089, 2.3838, 97.0227
030, 4.7787, 28.6224, 4.7787, 2.4051, 96.9972
031, 4.3622, 28.0117, 4.3622, 2.2263, 97.1840
032, 3.8892, 27.4653, 3.8892, 1.9010, 97.5625
033, 3.9865, 27.4870, 3.9865, 1.9273, 97.5084
034, 3.8009, 27.4334, 3.8009, 1.8879, 97.5707
035, 3.6308, 27.0244, 3.6308, 1.7778, 97.6727
036, 3.6023, 27.1672, 3.6023, 1.7576, 97.6543
037, 3.5419, 26.9805, 3.5419, 1.7495, 97.7166
038, 3.4356, 26.8515, 3.4356, 1.6758, 97.7472
039, 3.6630, 27.2120, 3.6630, 1.8515, 97.5717
040, 3.4645, 26.9555, 3.4645, 1.6899, 97.7217
041, 3.4405, 26.8572, 3.4405, 1.6646, 97.7931
042, 3.2320, 26.5993, 3.2320, 1.5596, 97.8839
043, 3.3379, 26.8064, 3.3379, 1.6717, 97.7533
044, 3.4157, 26.8960, 3.4157, 1.6455, 97.7676
045, 3.1120, 26.4103, 3.1120, 1.5566, 97.8829
046, 3.2646, 26.7323, 3.2646, 1.5727, 97.8951
047, 3.0800, 26.4019, 3.0800, 1.4646, 97.9869
048, 3.2359, 26.6571, 3.2359, 1.5424, 97.9012
049, 3.4478, 26.8749, 3.4478, 1.6737, 97.7676
050, 3.3144, 26.8185, 3.3144, 1.6192, 97.8400
051, 3.2217, 26.4798, 3.2217, 1.5687, 97.8869
052, 3.2527, 26.6264, 3.2527, 1.5939, 97.8574
053, 2.9599, 26.2159, 2.9599, 1.4040, 98.0502
054, 3.1775, 26.5843, 3.1775, 1.5838, 97.8625
055, 2.9823, 26.2554, 2.9823, 1.4283, 98.0257
056, 2.9416, 26.2430, 2.9416, 1.3970, 98.0441
057, 3.0770, 26.4419, 3.0770, 1.5192, 97.9624
058, 3.0117, 26.3883, 3.0117, 1.4333, 98.0155
059, 3.3418, 26.8528, 3.3418, 1.6434, 97.7992
060, 3.2064, 26.6012, 3.2064, 1.5525, 97.9125
061, 2.8610, 25.9572, 2.8610, 1.3687, 98.1012
062, 3.0505, 26.2815, 3.0505, 1.4616, 98.0308
